Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
SpeedNet: Learning the Speediness in Videos,SpeedNet,Pretext / Predictive,Kinetics-400,Kinetics-400; Need for Speed; UCF101; HMDB51,2020,CVPR 2020,peer_reviewed,,2026-08-11
Contrastive multiview coding,Contrastive Multiview Coding (CMC),Contrastive,ImageNet-1K; UCF101; NYU Depth V2,ImageNet-1K; ImageNet-100; STL-10; UCF101; HMDB51; NYU Depth V2,2020,ECCV 2020,peer_reviewed,10.1007/978-3-030-58621-8_45,2026-08-11
Self-supervised video representation learning by maximizing mutual information,Deep Video InfoMax (DVIM),Contrastive,UCF101,UCF101; HMDB51; ASLAN,2020,Signal Processing: Image Communication 2020,peer_reviewed,10.1016/j.image.2020.115967,2026-08-11
Memory-augmented dense predictive coding for video representation learning,Memory-Augmented Dense Predictive Coding (MemDPC),Pretext / Predictive,UCF101; Kinetics-400; Oops,UCF101; HMDB51; Kinetics-400; Oops,2020,ECCV 2020,peer_reviewed,10.1007/978-3-030-58580-8_19,2026-08-11
Evolving losses for unsupervised video representation learning,Evolving Losses (ELo),Other / Hybrid,YouTube-8M,HMDB51; UCF101; Kinetics-400,2020,CVPR 2020,peer_reviewed,10.1109/CVPR42600.2020.00021,2026-08-11
AudioVisual SlowFast Networks for Video Recognition,AudioVisual SlowFast (AVSlowFast),Multimodal / Audio-Visual,Kinetics-400; Kinetics-600,EPIC-KITCHENS-55; Kinetics-400; Kinetics-600; Kinetics-Sounds; Charades; AVA; UCF101; HMDB51,2020,arXiv / Preprint,preprint,,2026-08-11
Cycle-Contrast for Self-Supervised Video Representation Learning,Cycle-Contrastive Learning (CCL),Contrastive,UCF101; Kinetics-400,UCF101; HMDB51; MMAct,2020,NeurIPS 2020,peer_reviewed,,2026-08-11
Can temporal information help with contrastive self-supervised learning?,Temporal-Aware Contrastive Learning (TaCo),Other / Hybrid,Kinetics-400,UCF101; HMDB51,2020,arXiv / Preprint,preprint,,2026-08-11
Self-supervised multimodal versatile networks,Multimodal Versatile Networks (MMV),Multimodal / Audio-Visual,HowTo100M; AudioSet,UCF101; HMDB51; Kinetics-600; ESC-50; AudioSet; MSR-VTT; YouCook2; PASCAL VOC 2007; ImageNet-1K,2020,NeurIPS 2020,peer_reviewed,,2026-08-11
Pretext-Contrastive Learning: Toward Good Practices in Self-Supervised Video Representation Learning,Pretext-Contrastive Learning (PCL),Other / Hybrid,UCF101; Kinetics-400,UCF101; HMDB51,2020,arXiv / Preprint,preprint,,2026-08-11
UniVL: A Unified Video and Language Pre-Training Model for Multimodal Understanding and Generation,UniVL,Multimodal / Video-Language,HowTo100M,YouCook2; MSR-VTT; COIN; CrossTask; CMU-MOSI,2020,arXiv / Preprint,preprint,,2026-08-11
Self-supervised learning of audio-visual objects from video,Audio-Visual Object Discovery,Multimodal / Audio-Visual,LRS2; The Simpsons raw footage; Sesame Street raw footage,LRS2; LRS3; Columbia Active Speaker; The Simpsons; Sesame Street,2020,ECCV 2020,peer_reviewed,10.1007/978-3-030-58523-5_13,2026-08-11
Speech2Action: Cross-Modal Supervision for Action Recognition,Speech2Action,Multimodal / Video-Language,IMSDb Screenplays; Speech2Action-mined Movies,HMDB51; AVA; UCF101,2020,CVPR 2020,peer_reviewed,,2026-08-11
"Look, Listen, and Attend: Co-Attention Network for Self-Supervised Audio-Visual Representation Learning","Look, Listen, and Attend (LLA)",Multimodal / Audio-Visual,AudioSet-240K,AudioSet-240K; AudioSet-750K; Kinetics-400; Kinetics-Sounds; UCF101; HMDB51,2020,ACM Multimedia 2020,peer_reviewed,10.1145/3394171.3413869,2026-08-11
