Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
"V-JEPA 2: Self-Supervised Video Models Enable Understanding, Prediction and Planning",V-JEPA 2 / V-JEPA 2-AC,Pretext / Predictive,VideoMix22M; Something-Something V2; Kinetics-400; Kinetics-600; Kinetics-700; HowTo100M; YT-Temporal-1B; ImageNet-1K; DROID,Something-Something V2; Diving48; Jester; Kinetics-400; COIN; ImageNet-1K; EPIC-KITCHENS-100; Perception Test; MVP; TempCompass; TemporalBench; TOMATO; MVBench; TVBench; DROID,2025,arXiv preprint,preprint,,2026-08-11
When the Future Becomes the Past: Taming Temporal Correspondence for Self-supervised Video Representation Learning,T-CoRe,Contrastive,Kinetics-400,DAVIS 2017; VIP; JHMDB,2025,CVPR 2025,peer_reviewed,10.1109/CVPR52734.2025.02238,2026-08-11
Self-Supervised Learning of Motion Concepts by Optimizing Counterfactuals,Optimized Counterfactual World Models (Opt-CWM),Pretext / Predictive,Kinetics-400,TAP-Vid DAVIS; TAP-Vid Kinetics; TAP-Vid Kubric,2025,NeurIPS 2025,peer_reviewed,10.52202/085713-0921,2026-08-11
Label Ranker: Self-aware Preference for Classification Label Position in Visual Masked Self-supervised Pre-trained Model,Label Ranker,Generative / Masked,ImageNet-1K; Kinetics-400,CIFAR-100; UCF101; HMDB51,2025,ICMR 2025,peer_reviewed,10.1145/3731715.3733369,2026-08-11
AutoSSVH: Exploring Automated Frame Sampling for Efficient Self-Supervised Video Hashing,AutoSSVH,Other / Hybrid,ActivityNet; FCVID; UCF101; HMDB51,ActivityNet; FCVID; UCF101; HMDB51,2025,CVPR 2025,peer_reviewed,10.1109/CVPR52734.2025.01759,2026-08-11
Efficient Self-Supervised Video Hashing with Selective State Spaces,S5VH,Other / Hybrid,ActivityNet; FCVID; UCF101; HMDB51,ActivityNet; FCVID; UCF101; HMDB51,2025,AAAI 2025,peer_reviewed,10.1609/aaai.v39i7.32835,2026-08-11
Exemplar-free class incremental action recognition based on self-supervised learning,Exemplar-Free SSL Class-Incremental Action Recognition,Other / Hybrid,UCF101; HMDB51; Kinetics-400; Something-Something V2,UCF101; HMDB51; Kinetics-400; Something-Something V2,2025,Image and Vision Computing 2025,peer_reviewed,10.1016/j.imavis.2025.105544,2026-08-11
Learning from Streaming Video with Orthogonal Gradients,Orthogonal-SGD / Orthogonal-AdamW,Other / Hybrid,WalkingTours; Kinetics-400; Something-Something V2; Ego4D-Stream; ScanNet-Stream; ImageNet-21K,ImageNet-1K; Something-Something V2; Ego4D-Stream; ScanNet-Stream,2025,CVPR 2025,peer_reviewed,10.1109/CVPR52734.2025.01274,2026-08-11
Intuitive physics understanding emerges from self-supervised pretraining on natural videos,V-JEPA Intuitive-Physics Probing,Pretext / Predictive,Kinetics-710; Something-Something V2; HowTo100M,IntPhys; GRASP; InfLevel-lab,2025,arXiv preprint,preprint,,2026-08-11
ST-HViT: spatial-temporal hierarchical vision transformer for action recognition,ST-HViT,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2025,Pattern Analysis and Applications 2025,peer_reviewed,10.1007/s10044-024-01407-4,2026-08-11
Advancing video self-supervised learning via image foundation models,AdViSe,Other / Hybrid,ImageNet-1K; UCF101; HMDB51; Diving48; Something-Something V2; Kinetics-400,UCF101; HMDB51; Diving48; Something-Something V2; Kinetics-400,2025,Pattern Recognition Letters 2025,peer_reviewed,10.1016/j.patrec.2025.03.015,2026-08-11
SMILE: Infusing Spatial and Motion Semantics in Masked Video Learning,SMILE,Generative / Masked,Kinetics-400; Something-Something V2; Places-80K,Kinetics-400; Something-Something V2; UCF101; HMDB51; FineGYM; GYM99; EPIC-KITCHENS-100; Charades; FX-S1; UB-S1; UCF-RC; DAVIS; YouTube-VOS; THUMOS14; ActivityNet v1.3,2025,CVPR 2025,peer_reviewed,,2026-08-11
A Large-Scale Analysis on Contextual Self-Supervised Video Representation Learning,Contextual VideoSSL Benchmark and Multi-Teacher Distillation,Other / Hybrid,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48,2025,CVPR Workshops 2025,peer_reviewed,,2026-08-11
Progressive self-supervised spatio-temporal feature learning based on video sequence saliency,PSSFL-VSS,Pretext / Predictive,Kinetics; UCF101; HMDB51,UCF101; HMDB51; Kinetics,2025,"Proceedings of SPIE, ICVIP 2024",peer_reviewed,10.1117/12.3059113,2026-08-11
CrossVideoMAE: Self-Supervised Image-Video Representation Learning with Masked Autoencoders,CrossVideoMAE,Generative / Masked,Kinetics-400; Something-Something V2; ImageNet-1K,Kinetics-400; Something-Something V2; UCF101; HMDB51; ImageNet-1K,2025,arXiv preprint,preprint,,2026-08-11
Motion-driven Adaptive Frame Selection Strategy for Video Action Recognition,Motion-Driven Adaptive Frame Selection,Other / Hybrid,ImageNet-1K,Diving48; UCF101; HMDB51,2025,EURASIP Journal on Image and Video Processing 2025,peer_reviewed,10.1186/s13640-025-00675-2,2026-08-11
Mitigating background bias in self-supervised video representation learning,MAC-based Background-Debiasing SSL,Contrastive,UCF101; HMDB51; Diving48,UCF101; HMDB51; Diving48,2025,"Signal, Image and Video Processing 2025",peer_reviewed,10.1007/s11760-024-03644-w,2026-08-11
ARVideo: Autoregressive Pretraining for Self-Supervised Video Representation Learning,ARVideo,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,2025,Transactions on Machine Learning Research 2025,peer_reviewed,,2026-08-11
Learning Video Representations without Natural Videos,Synthetic-progression VideoMAE pretraining,Generative / Masked,Procedurally generated motion videos; ImageNet-1K static images,UCF101; HMDB51; UCF101-P; Kinetics-400,2025,ICCV Workshops 2025,peer_reviewed,,2026-08-11
Collaboratively Self-supervised Video Representation Learning for Action Recognition,CSVR,Other / Hybrid,UCF101; Kinetics-400,UCF101; HMDB51; Something-Something V2; Kinetics-400,2025,IEEE Transactions on Information Forensics and Security 2025,peer_reviewed,10.1109/TIFS.2025.3531772,2026-08-11
