Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
Transrank: Self-supervised video representation learning via ranking-based transformation recognition,TransRank,Pretext / Predictive,Mini-Kinetics-200; Something-Something V1,Mini-Kinetics-200; Something-Something V1; UCF101; HMDB51,2022,CVPR 2022,peer_reviewed,,2026-08-11
Learning from untrimmed videos: Self-supervised video representation learning with hierarchical consistency,HiCo,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; ActivityNet,2022,CVPR 2022,peer_reviewed,,2026-08-11
Motion-aware contrastive video representation learning via foreground-background merging,FAME,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; Diving48,2022,CVPR 2022,peer_reviewed,,2026-08-11
Self-Supervised Video Representation Learning with Motion-Contrastive Perception,MCP,Contrastive,Kinetics-100; Kinetics-400,Kinetics-100; Kinetics-400; UCF101; HMDB51,2022,ICME 2022,peer_reviewed,10.1109/ICME52920.2022.9859802,2026-08-11
Self-supervised video representation learning using improved instance-wise contrastive learning and deep clustering,Improved instance contrast plus deep clustering,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51,2022,IEEE Transactions on Circuits and Systems for Video Technology 2022,peer_reviewed,,2026-08-11
TCLR: Temporal contrastive learning for video representation,TCLR,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51; Diving48; Kinetics-400,2022,Computer Vision and Image Understanding 2022,peer_reviewed,10.1016/j.cviu.2022.103406,2026-08-11
Self-supervised spatiotemporal representation learning by exploiting video continuity,CPNet,Pretext / Predictive,Kinetics-400,UCF101; HMDB51; Diving48; ActivityNet,2022,AAAI 2022,peer_reviewed,10.1609/aaai.v36i2.20047,2026-08-11
Probabilistic representations for video contrastive learning,Probabilistic Video Contrastive Learning,Contrastive,Kinetics-400,UCF101; HMDB51; ActivityNet,2022,CVPR 2022,peer_reviewed,,2026-08-11
Contextualized spatio-temporal contrastive learning with self-supervision,ConST-CL,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; AVA,2022,CVPR 2022,peer_reviewed,,2026-08-11
VideoMAE: Masked Autoencoders Are Data-Efficient Learners for Self-Supervised Video Pre-Training,VideoMAE,Generative / Masked,Kinetics-400; Something-Something V2; UCF101; HMDB51,Kinetics-400; Something-Something V2; UCF101; HMDB51,2022,NeurIPS 2022,peer_reviewed,,2026-08-11
Self-supervised video representation learning with cross-stream prototypical contrasting,ViCC,Contrastive,UCF101,UCF101; HMDB51,2022,WACV 2022,peer_reviewed,,2026-08-11
SLIC: Self-supervised learning with iterative clustering for human action videos,SLIC,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51,2022,CVPR 2022,peer_reviewed,,2026-08-11
GOCA: guided online cluster assignment for self-supervised video representation Learning,GOCA,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51; Diving48,2022,ECCV 2022,peer_reviewed,,2026-08-11
TCVM: Temporal Contrasting Video Montage Framework for Self-supervised Video Representation Learning,TCVM,Contrastive,Kinetics-400,Something-Something V2; UCF101; HMDB51,2022,ACCV 2022,peer_reviewed,,2026-08-11
Static and Dynamic Concepts for Self-supervised Video Representation Learning,Static-Dynamic Concept Learning,Contrastive,Kinetics-400,UCF101; HMDB51; Diving48; Kinetics-400,2022,ECCV 2022,peer_reviewed,10.1007/978-3-031-19809-0_9,2026-08-11
SOS! Self-supervised Learning over Sets of Handled Objects in Egocentric Action Recognition,SOS,Other / Hybrid,EPIC-KITCHENS-100,EPIC-KITCHENS-100,2022,ECCV 2022,peer_reviewed,10.1007/978-3-031-19778-9_35,2026-08-11
Self-Supervised Video Representation Learning with Cascade Positive Retrieval,Cascade Positive Retrieval (CPR),Contrastive,UCF101,UCF101; HMDB51,2022,CVPR Workshops 2022,peer_reviewed,,2026-08-11
Self-Supervised Learning of Audio Representations From Audio-Visual Data Using Spatial Alignment,Audio-Visual Spatial Alignment (AVSA),Multimodal / Audio-Visual,YouTube-360,UCF101; HMDB51; EigenScape; TAU Audio-Visual Urban Scenes 2021,2022,IEEE Journal of Selected Topics in Signal Processing 2022,peer_reviewed,,2026-08-11
Hierarchically decoupled spatial-temporal contrast for self-supervised video representation learning,HDC,Contrastive,Kinetics-400,UCF101; HMDB51,2022,WACV 2022,peer_reviewed,,2026-08-11
Spatio-temporal self-supervision enhanced transformer networks for action recognition,STTNet,Pretext / Predictive,Kinetics-400,Kinetics-400; Something-Something V2; UCF101; HMDB51,2022,ICME 2022,peer_reviewed,,2026-08-11
Inter-Intra Cross-Modality Self-Supervised Video Representation Learning by Contrastive Clustering,IICMVC,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51,2022,ICPR 2022,peer_reviewed,,2026-08-11
SCVRL: Shuffled Contrastive Video Representation Learning,SCVRL,Contrastive,Kinetics-400,Kinetics-400; Something-Something V2; Diving48; UCF101,2022,CVPR Workshops 2022,peer_reviewed,,2026-08-11
InternVideo: General Video Foundation Models via Generative and Discriminative Learning,InternVideo,Other / Hybrid,Kinetics-400; Something-Something V2; WebVid-2M; WebVid-10M; HowTo100M; LAION-400M,Kinetics-400; Kinetics-600; Something-Something V2; ActivityNet; AVA; THUMOS14; UCF101; HMDB51; MSR-VTT; MSVD; DiDeMo; LSMDC; ActivityNet Captions,2022,arXiv / Preprint,preprint,,2026-08-11
Video Motion Perception for Self-supervised Representation Learning,Video Motion Perception (VMP),Pretext / Predictive,UCF101; Kinetics-400,UCF101; HMDB51,2022,ICANN 2022,peer_reviewed,10.1007/978-3-031-15937-4_43,2026-08-11
An improved inter-intra contrastive learning framework on self-supervised video representation,Improved Inter-Intra Contrastive Learning,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51,2022,IEEE Transactions on Circuits and Systems for Video Technology 2022,peer_reviewed,,2026-08-11
Auxiliary Learning for Self-Supervised Video Representation via Similarity-based Knowledge Distillation,AuxSKD,Distillation / Teacher-Student,Kinetics-100; Kinetics-400,UCF101; HMDB51,2022,CVPR Workshops 2022,peer_reviewed,,2026-08-11
Motion Sensitive Contrastive Learning for Self-supervised Video Representation,MoSI,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; Something-Something V2,2022,ECCV 2022,peer_reviewed,10.1007/978-3-031-19833-5_27,2026-08-11
Unsupervised Learning of Spatio-Temporal Representation with Multi-Task Learning for Video Retrieval,Spatiotemporal Multi-Task Learning,Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,2022,National Conference on Communications 2022,peer_reviewed,,2026-08-11
Federated Self-supervised Learning for Video Understanding,FedVSSL,Contrastive,Kinetics-400; UCF101; HMDB51,Kinetics-400; UCF101; HMDB51,2022,ECCV 2022,peer_reviewed,10.1007/978-3-031-19821-2_29,2026-08-11
Contrastive predictive coding with transformer for video representation learning,CPCTR,Pretext / Predictive,UCF101,UCF101; HMDB51,2022,Neurocomputing 2022,peer_reviewed,10.1016/j.neucom.2021.11.031,2026-08-11
Video representation learning by identifying spatio-temporal transformation,Spatiotemporal Transformation Identification,Pretext / Predictive,UCF101,UCF101; HMDB51,2022,Applied Intelligence 2022,peer_reviewed,10.1007/s10489-021-02790-9,2026-08-11
On temporal granularity in self-supervised video representation learning,Temporal Granularity Study,Other / Hybrid,Kinetics-400,Kinetics-400; UCF101; HMDB51,2022,BMVC 2022,peer_reviewed,,2026-08-11
LAVA: Language Audio Vision Alignment for Data-Efficient Video Pre-Training,LAVA,Multimodal / Audio-Visual,Kinetics-700,UCF101; HMDB51; ESC-50,2022,ICML Pre-training Workshop 2022,peer_reviewed,,2026-08-11
It Takes Two: Masked Appearance-Motion Modeling for Self-supervised Video Transformer Pre-training,MAM2,Generative / Masked,Kinetics-400; Something-Something V2; UCF101; HMDB51,Kinetics-400; Something-Something V2; UCF101; HMDB51,2022,arXiv / Preprint,preprint,,2026-08-11
MAC: Mask-Augmentation for Motion-Aware Video Representation Learning,MAC,Contrastive,Kinetics-400; UCF101,UCF101; HMDB51,2022,BMVC 2022,peer_reviewed,,2026-08-11
Temporal-Invariant Video Representation Learning with Dynamic Temporal Resolutions.,Temporal-Invariant Dynamic-Resolution Learning,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51,2022,AVSS 2022,peer_reviewed,,2026-08-11
Dual Contrastive Learning for Spatio-temporal Representation,Dual Contrastive Learning (DCL),Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51,2022,ACM Multimedia 2022,peer_reviewed,10.1145/3503161.3547783,2026-08-11
MoQuad: Motion-focused Quadruple Construction for Video Contrastive Learning,MoQuad,Contrastive,Kinetics-400,UCF101; HMDB51; Diving48,2022,ECCV Workshops 2022,peer_reviewed,10.1007/978-3-031-25069-9_2,2026-08-11
On Negative Sampling for Audio-Visual Contrastive Learning from Movies,Within-Movie Audio-Visual Negative Sampling,Multimodal / Audio-Visual,Long-form movies,UCF101; HMDB51; ESC-50,2022,arXiv / Preprint,preprint,,2026-08-11
Frame-wise Action Representations for Long Videos via Sequence Contrastive Learning,CARL,Contrastive,Penn Action; FineGym; Pouring,Penn Action; FineGym; Pouring,2022,CVPR 2022,peer_reviewed,,2026-08-11
Masked Feature Prediction for Self-Supervised Visual Pre-Training,MaskFeat,Generative / Masked,Kinetics-400,Kinetics-400; Kinetics-600; Kinetics-700; Something-Something V2; AVA,2022,CVPR 2022,peer_reviewed,,2026-08-11
Pixel-level Correspondence for Self-Supervised Learning from Video,PiCo,Contrastive,YouTube-8M Segments; Kinetics-400,COCO; PASCAL VOC 2012; Cityscapes; DAVIS 2017; JHMDB,2022,arXiv / Preprint,preprint,,2026-08-11
Temporal Alignment Networks for Long-Term Video,Temporal Alignment Networks (TAN),Contrastive,HowTo100M (HTM-370K),HTM-Align; Breakfast; YouCook2,2022,CVPR 2022,peer_reviewed,,2026-08-11
SimVTP: Simple Video Text Pre-Training with Masked Autoencoders,SimVTP,Multimodal / Audio-Visual,WebVid-2M,MSR-VTT; MSVD; DiDeMo; LSMDC; ActivityNet Captions; MSRVTT-QA,2022,arXiv / Preprint,preprint,,2026-08-11
Learning Audio-Visual Speech Representation by Masked Multimodal Cluster Prediction,AV-HuBERT,Multimodal / Audio-Visual,LRS3; VoxCeleb2,LRS3,2022,ICLR 2022,peer_reviewed,,2026-08-11
Self-supervised video representation learning by uncovering spatio-temporal statistics,Spatiotemporal Statistics Prediction,Pretext / Predictive,UCF101; Kinetics-400,UCF101; HMDB51; YUP++; ASLAN,2022,IEEE Transactions on Pattern Analysis and Machine Intelligence 2022,peer_reviewed,10.1109/TPAMI.2021.3054224,2026-08-11
