Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
Self-Supervised Learning from Untrimmed Videos via Hierarchical Consistency,Hierarchical Consistency Learning (HiCo),Contrastive,Kinetics-400; Untrimmed Kinetics-400,UCF101; HMDB51; ActivityNet,2023,IEEE Transactions on Pattern Analysis and Machine Intelligence 2023,peer_reviewed,10.1109/TPAMI.2023.3273415,2026-08-11
Audio-Visual Contrastive Learning with Temporal Self-Supervision,Audio-visual contrastive learning with temporal self-supervision,Multimodal / Audio-Visual,Kinetics-600; Kinetics-400,UCF101; HMDB51; ESC-50; VGGSound; Kinetics-600,2023,AAAI 2023,peer_reviewed,10.1609/aaai.v37i7.25967,2026-08-11
Video Test-Time Adaptation for Action Recognition,ViTTA,Other / Hybrid,Kinetics-400; ImageNet-1K,UCF101; Something-Something V2; Kinetics-400; UCF101-C; Something-Something V2-C; Kinetics-400-C,2023,CVPR 2023,peer_reviewed,10.1109/CVPR52729.2023.02198,2026-08-11
Self-Supervised Video Representation Learning via Latent Time Navigation,Latent Time Navigation (LTN),Contrastive,Kinetics-400,Toyota Smarthome; Kinetics-400; UCF101; HMDB51,2023,AAAI 2023,peer_reviewed,10.1609/aaai.v37i3.25416,2026-08-11
Temporal Contrastive Learning with Curriculum,Contrastive Curriculum Learning (ConCur),Contrastive,Kinetics-400; Kinetics-200,UCF101; HMDB51,2023,ICASSP 2023,peer_reviewed,,2026-08-11
Nearest-Neighbor Inter-Intra Contrastive Learning from Unlabeled Videos,Inter-Intra Video Contrastive Learning (IIVCL),Contrastive,Kinetics-400,UCF101; HMDB51; Kinetics-400; Something-Something V2; AVA,2023,ICLR Workshops 2023,peer_reviewed,,2026-08-11
Tubelet-Contrastive Self-Supervision for Video-Efficient Generalization,Tubelet-Contrastive,Contrastive,Kinetics-400; Mini-Kinetics,UCF101; HMDB51; Something-Something V2; FineGym Gym99; FineGym FX-S1; FineGym UB-S1; UCFRep; Charades; Diving48,2023,ICCV 2023,peer_reviewed,,2026-08-11
Multi-scale Compositional Constraints for Representation Learning on Videos,Multi-scale compositional AVID-CMA,Multimodal / Audio-Visual,AudioSet,UCF101; SumMe,2023,ICASSP 2023,peer_reviewed,,2026-08-11
Flavr: Flow-agnostic Video Representations for Fast Frame Interpolation,FLAVR,Pretext / Predictive,Vimeo-90K; GoPro,Vimeo-90K; UCF101; DAVIS; Adobe-240FPS; GoPro; SNU-FILM; Middlebury; HMDB51; MPI Sintel; KITTI; DAVIS 2017,2023,WACV 2023,peer_reviewed,,2026-08-11
HomE: Homography-Equivariant Video Representation Learning,HomE,Pretext / Predictive,Synthetic CIFAR-10; UCF101; Stanford-TRI Intent Prediction,Synthetic CIFAR-10; UCF101; Stanford-TRI Intent Prediction,2023,arXiv / Preprint,preprint,,2026-08-11
ViewCLR: Learning Self-supervised Video Representation for Unseen Viewpoints,ViewCLR,Contrastive,NTU RGB+D 60; NTU RGB+D 120; Northwestern-UCLA,NTU RGB+D 60; NTU RGB+D 120; Northwestern-UCLA,2023,WACV 2023,peer_reviewed,,2026-08-11
Videomae v2: Scaling Video Masked Autoencoders with Dual Masking,VideoMAE V2,Generative / Masked,UnlabeledHybrid; LabeledHybrid; Kinetics-400; Kinetics-600; Kinetics-700; Something-Something V2; AVA; WebVid-2M; Instagram videos,Kinetics-400; Kinetics-600; Something-Something V1; Something-Something V2; UCF101; HMDB51; AVA; AVA-Kinetics; THUMOS14; FineAction,2023,CVPR 2023,peer_reviewed,,2026-08-11
Self-Supervised Audio-Visual Representation Learning with Relaxed Cross-Modal Synchronicity,CrissCross,Multimodal / Audio-Visual,Kinetics-Sounds; Kinetics-400; AudioSet,Kinetics-400; UCF101; HMDB51; ESC-50; DCASE,2023,AAAI 2023,peer_reviewed,,2026-08-11
Previts: contrastive pretraining with video tracking supervision,PreViTS,Contrastive,VGGSound; Kinetics-400,UCF101; ImageNet-1K; DAVIS; JHMDB; Backgrounds Challenge,2023,WACV 2023,peer_reviewed,,2026-08-11
Modeling Video As Stochastic Processes for Fine-Grained Video Representation Learning,Video Stochastic Processes (VSP),Contrastive,ImageNet-1K; Penn Action; Pouring; IKEA ASM; FineGym,Penn Action; Pouring; IKEA ASM; FineGym Gym99; FineGym Gym288,2023,CVPR 2023,peer_reviewed,,2026-08-11
Learning Fine-Grained Features for Pixel-wise Video Correspondences,Adversarial fine-grained correspondence learning,Pretext / Predictive,FlyingThings3D; YouTube-VOS,BADJA; JHMDB; TAP-Vid-DAVIS; TAP-Vid-Kinetics; DAVIS 2017,2023,ICCV 2023,peer_reviewed,10.1109/ICCV51070.2023.00883,2026-08-11
Cali-NCE: Boosting Cross-Modal Video Representation Learning With Calibrated Alignment,Cali-NCE,Multimodal / Audio-Visual,WebVid-2M,MSR-VTT; MSVD; UCF101; HMDB51,2023,CVPR Workshops 2023,peer_reviewed,,2026-08-11
Self-supervised motion perception for spatiotemporal representation learning,Self-Supervised Motion Perception (SMP),Pretext / Predictive,UCF101; Kinetics-400,UCF101; HMDB51,2023,IEEE Transactions on Neural Networks and Learning Systems 2023,peer_reviewed,10.1109/TNNLS.2022.3160860,2026-08-11
Similarity Contrastive Estimation for Image and Video Soft Contrastive Self-Supervised Learning,Similarity Contrastive Estimation (SCE),Contrastive,ImageNet-1K; ImageNet-100; Kinetics-200; Kinetics-400,CIFAR-10; CIFAR-100; STL-10; Tiny ImageNet; PASCAL VOC 2007; COCO; UCF101; HMDB51; Kinetics-400; AVA; Something-Something V2,2023,Machine Vision and Applications 2023,peer_reviewed,10.1007/s00138-023-01444-9,2026-08-11
Self-Supervised Contrastive Learning for Audio-Visual Action Recognition,Audio-Visual Contrastive Learning (AVCL),Multimodal / Audio-Visual,Kinetics-Sounds32; Kinetics-Sounds100,Kinetics-Sounds32; Kinetics-Sounds100,2023,ICIP 2023,peer_reviewed,,2026-08-11
Self-Supervised Scene-Debiasing for Video Representation Learning via Background Patching,Background Patching,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51,2023,IEEE Transactions on Multimedia 2023,peer_reviewed,10.1109/TMM.2022.3193559,2026-08-11
LgNet: A local-global network for action recognition and beyond,LgNet,Other / Hybrid,Kinetics-400,Kinetics-400; UCF101; HMDB51; Something-Something V2,2023,IEEE Transactions on Multimedia 2023,peer_reviewed,10.1109/TMM.2022.3189253,2026-08-11
Unsupervised Video-Based Action Recognition With Imagining Motion and Perceiving Appearance,IMPA,Other / Hybrid,UCF101; Kinetics-400,UCF101; HMDB51,2023,IEEE Transactions on Circuits and Systems for Video Technology 2023,peer_reviewed,10.1109/TCSVT.2022.3221280,2026-08-11
Spatiotemporal Augmentation on Selective Frequencies for Video Representation Learning,Frequency Selective Augmentation (FreqAug),Contrastive,Mini-Kinetics; Kinetics-400,Mini-Kinetics; Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48; Breakfast,2023,AAAI 2023,peer_reviewed,10.1609/aaai.v37i1.25194,2026-08-11
Consistent Intra-video Contrastive Learning with Asynchronous Long-term Memory Bank,Consistent Intra-Video Contrastive Learning,Contrastive,Kinetics-400; UCF101,UCF101; HMDB51,2023,IEEE Transactions on Circuits and Systems for Video Technology 2023,peer_reviewed,10.1109/TCSVT.2022.3207174,2026-08-11
