Title,Authors,Method,Method family,Pretraining datasets,Evaluation datasets,All datasets,Year,Venue,Is NeurIPS,Publication status,DOI,arXiv ID,Paper URL,Code URL,Dataset notes,Verified as of
Self-Supervised Learning of Structured Dynamics from Videos,"Lukas Knobel, Andrew Zisserman, Yuki M. Asano",Structured Dynamics Model (SDM),Pretext / Predictive,Kubric; Something-Something V2; DL3DV,Kubric; DL3DV; CameraBench; DAVIS 2017; YouTube-VOS; Something-Something V2,Kubric; Something-Something V2; DL3DV; CameraBench; DAVIS 2017; YouTube-VOS,2026,arXiv preprint,No,preprint,,2607.21576,https://arxiv.org/abs/2607.21576,https://github.com/lukasknobel/StructuredDynamics,"ProbeMotion uses controlled Kubric and DL3DV probes, CameraBench, static-camera subsets of DAVIS 2017 and YouTube-VOS, and the SSv2-110k subset.",2026-08-11
Self-Supervised Video Representation Learning in a Heuristic Decoupled Perspective,"Zeen Song, Jingyao Wang, Jianqi Zhang, Changwen Zheng, Wenwen Qiang",BOD-VCL,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; Something-Something V2; FineGym; AVA; Diving48; Static-Dynamic UCF101,Kinetics-400; UCF101; HMDB51; Something-Something V2; FineGym; AVA; Diving48; Static-Dynamic UCF101,2026,International Journal of Computer Vision 2026,No,peer_reviewed,10.1007/s11263-026-02785-4,2407.14069,https://link.springer.com/article/10.1007/s11263-026-02785-4,,,2026-08-11
"Structured-Noise Masked Modeling for Video, Audio and Beyond","Aritra Bhowmik, Fida Mohammad Thoker, Carlos Hinojosa, Bernard Ghanem, Cees G. M. Snoek",Structured-Noise Masked Modeling,Generative / Masked,Kinetics-400; Something-Something V2; AudioSet-2M; VGGSound,Kinetics-400; Something-Something V2; DAVIS; YouTube-VOS; AudioSet-20K; AudioSet-2M; ESC-50; VGGSound,Kinetics-400; Something-Something V2; AudioSet-2M; VGGSound; DAVIS; YouTube-VOS; AudioSet-20K; ESC-50,2026,ECCV 2026,No,peer_reviewed,,2503.16311,https://carloshinojosa.me/publication/conf-eccv2026-structured-noise/,,,2026-08-11
The TIME Machine: On The Power of Motion for Efficient Perception,"Mantas Skackauskas, Xinyue Hao, Laura Sevilla-Lara",TIME (Temporally Informed Motion Embedding),Generative / Masked,Kubric MOVi-B,Something-Something V2; CLEVRER; Diving48; Ego-Exo4D,Kubric MOVi-B; Something-Something V2; CLEVRER; Diving48; Ego-Exo4D,2026,arXiv preprint,No,preprint,,2605.23045,https://arxiv.org/abs/2605.23045,,"The main model is pretrained on 250,000 Kubric MOVi-B synthetic videos. A second-stage Something-Something V2 trajectory pretraining experiment is an ablation, not the default model.",2026-08-11
TrackMAE: Video Representation Learning via Track Mask and Predict,"Renaud Vandeghen, Fida Mohammad Thoker, Marc Van Droogenbroeck, Bernard Ghanem",TrackMAE,Generative / Masked,Kinetics-400,Kinetics-400; HMDB51; Something-Something V2; FineGYM; UCF101; UCFRep; Charades,Kinetics-400; HMDB51; Something-Something V2; FineGYM; UCF101; UCFRep; Charades,2026,CVPR 2026,No,peer_reviewed,,2603.27268,https://openaccess.thecvf.com/content/CVPR2026/html/Vandeghen_TrackMAE_Video_Representation_Learning_via_Track_Mask_and_Predict_CVPR_2026_paper.html,https://github.com/rvandeghen/TrackMAE,"The main encoder is pretrained on Kinetics-400. SEVERE contributes eight evaluation settings drawn from Something-Something V2, FineGYM, UCF101, UCFRep, and Charades.",2026-08-11
TrAction: Action Recognition with Sparse Trajectories,"Jan F. Meier, Felix B. Mueller, Alexander Ecker, Timo Lüddecke",TrAction,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; EPIC-KITCHENS-100; Invariant Action Recognition Dataset; Chirality in Action,Kinetics-400; Something-Something V2; EPIC-KITCHENS-100; Invariant Action Recognition Dataset; Chirality in Action,2026,arXiv preprint,No,preprint,,2606.03490,https://arxiv.org/abs/2606.03490,https://github.com/ecker-lab/TrAction,UCF101 and HMDB51 are discussed only as appearance-dominated examples and are not counted as evaluated datasets.,2026-08-11
V-JEPA 2.1: Unlocking Dense Features in Video Self-Supervised Learning,"Lorenzo Mur-Labadia, Matthew Muckley, Amir Bar, Mido Assran, Koustuv Sinha, Mike Rabbat, Yann LeCun, Nicolas Ballas, Adrien Bardes",V-JEPA 2.1,Pretext / Predictive,VisionMix-163M; Something-Something V2; Kinetics; HowTo100M; YT-1B; LVD-142M,Ego4D STA v2; EPIC-KITCHENS-100; NYUv2; KITTI; ADE20K; PASCAL VOC12; Cityscapes; DAVIS 2017; YouTube-VOS; Something-Something V2; Kinetics-400; Diving48; ImageNet-1K; Perception Test; Minimal Video Pairs; TempCompass; TemporalBench; TOMATO; MVBench; TVBench; RECON; TartanDrive; SCAND; SACSoN,VisionMix-163M; Something-Something V2; Kinetics; HowTo100M; YT-1B; LVD-142M; DROID; PerceptionLM; Ego4D STA v2; EPIC-KITCHENS-100; NYUv2; KITTI; ADE20K; PASCAL VOC12; Cityscapes; DAVIS 2017; YouTube-VOS; Kinetics-400; Diving48; ImageNet-1K; Perception Test; Minimal Video Pairs; TempCompass; TemporalBench; TOMATO; MVBench; TVBench; RECON; TartanDrive; SCAND; SACSoN,2026,arXiv preprint,No,preprint,,2603.14482,https://arxiv.org/abs/2603.14482,https://github.com/facebookresearch/vjepa2,"VisionMix-163M combines Something-Something V2, Kinetics, HowTo100M, YT-1B, and LVD-142M. DROID and PerceptionLM are used in downstream alignment or world-model training rather than the foundation pretraining mixture.",2026-08-11
A Large-Scale Analysis on Contextual Self-Supervised Video Representation Learning,"Akash Kumar, Ashlesha Kumar, Vibhav Vineet, Yogesh S Rawat",Contextual VideoSSL Benchmark and Multi-Teacher Distillation,Other / Hybrid,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48,Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48,2025,CVPR Workshops 2025,No,peer_reviewed,,2504.06153,https://openaccess.thecvf.com/content/CVPR2025W/TCV/html/Kumar_A_Large-Scale_Analysis_on_Contextual_Self-Supervised_Video_Representation_Learning_CVPRW_2025_paper.html,,,2026-08-11
Advancing video self-supervised learning via image foundation models,"Jingwei Wu, Zhewei Huang, Chang Liu",AdViSe,Other / Hybrid,ImageNet-1K; UCF101; HMDB51; Diving48; Something-Something V2; Kinetics-400,UCF101; HMDB51; Diving48; Something-Something V2; Kinetics-400,ImageNet-1K; UCF101; HMDB51; Diving48; Something-Something V2; Kinetics-400,2025,Pattern Recognition Letters 2025,No,peer_reviewed,10.1016/j.patrec.2025.03.015,2505.19218,https://www.sciencedirect.com/science/article/pii/S0167865525001072,https://github.com/JingwWu/advise-video-ssl,ImageNet-1K is the source pretraining benchmark for the frozen image foundation models; the video datasets support self-supervised adaptation and evaluation.,2026-08-11
An Empirical Study of Autoregressive Pre-training from Videos,"Jathushan Rajasegaran, Ilija Radosavovic, Rahul Ravishankar, Yossi Gandelsman, Christoph Feichtenhofer, Jitendra Malik",Toto,Generative / Masked,ImageNet-1K; Kinetics-600; Ego4D; HowTo100M,ImageNet-1K; Kinetics-400; Ego4D STA v1; DAVIS 2017; CATER; MVP,ImageNet-1K; Kinetics-600; Ego4D; HowTo100M; Kinetics-400; Ego4D STA v1; DAVIS 2017; CATER; MVP,2025,ICCV 2025,No,peer_reviewed,,2501.05453,https://openaccess.thecvf.com/content/ICCV2025/html/Rajasegaran_An_Empirical_Study_of_Autoregressive_Pre-training_from_Videos_ICCV_2025_paper.html,,MVP denotes the simulated and real robot manipulation evaluations reported by the paper.,2026-08-11
ARVideo: Autoregressive Pretraining for Self-Supervised Video Representation Learning,"Sucheng Ren, Hongru Zhu, Chen Wei, Yijiang Li, Alan Yuille, Cihang Xie",ARVideo,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,2025,Transactions on Machine Learning Research 2025,No,peer_reviewed,,2405.15160,https://openreview.net/forum?id=hWlCc7Iksi,,,2026-08-11
AutoSSVH: Exploring Automated Frame Sampling for Efficient Self-Supervised Video Hashing,"Niu Lian, Jun Li, Jinpeng Wang, Ruisheng Luo, Yaowei Wang, Shu-Tao Xia, Bin Chen",AutoSSVH,Other / Hybrid,ActivityNet; FCVID; UCF101; HMDB51,ActivityNet; FCVID; UCF101; HMDB51,ActivityNet; FCVID; UCF101; HMDB51,2025,CVPR 2025,No,peer_reviewed,10.1109/CVPR52734.2025.01759,2504.03587,https://openaccess.thecvf.com/content/CVPR2025/html/Lian_AutoSSVH_Exploring_Automated_Frame_Sampling_for_Efficient_Self-Supervised_Video_Hashing_CVPR_2025_paper.html,https://github.com/EliSpectre/CVPR25-AutoSSVH,,2026-08-11
Collaboratively Self-supervised Video Representation Learning for Action Recognition,"Jie Zhang, Zhifan Wan, Lanqing Hu, Stephen Lin, Shuzhe Wu, Shiguang Shan",CSVR,Other / Hybrid,UCF101; Kinetics-400,UCF101; HMDB51; Something-Something V2; Kinetics-400,UCF101; Kinetics-400; HMDB51; Something-Something V2,2025,IEEE Transactions on Information Forensics and Security 2025,No,peer_reviewed,10.1109/TIFS.2025.3531772,2401.07584,https://ieeexplore.ieee.org/document/10847948/,,,2026-08-11
CrossVideoMAE: Self-Supervised Image-Video Representation Learning with Masked Autoencoders,"Shihab Aaqil Ahamed∗, Malitha Gunawardhana∗, Liel David, Michael Sidorov, Daniel Harari, Muhammad Haris Khan",CrossVideoMAE,Generative / Masked,Kinetics-400; Something-Something V2; ImageNet-1K,Kinetics-400; Something-Something V2; UCF101; HMDB51; ImageNet-1K,Kinetics-400; Something-Something V2; ImageNet-1K; UCF101; HMDB51,2025,arXiv preprint,No,preprint,,2502.07811,https://arxiv.org/abs/2502.07811,,Sampled frames from Kinetics-400 and Something-Something V2 form the image side of joint pretraining; ImageNet-1K is used as an auxiliary image benchmark.,2026-08-11
Efficient Self-Supervised Video Hashing with Selective State Spaces,"Jinpeng Wang, Niu Lian, Jun Li, Yuting Wang, Yan Feng, Bin Chen, Yongbing Zhang, Shu-Tao Xia1",S5VH,Other / Hybrid,ActivityNet; FCVID; UCF101; HMDB51,ActivityNet; FCVID; UCF101; HMDB51,ActivityNet; FCVID; UCF101; HMDB51,2025,AAAI 2025,No,peer_reviewed,10.1609/aaai.v39i7.32835,,https://ojs.aaai.org/index.php/AAAI/article/view/32835,,,2026-08-11
Efficient VideoMAE via Temporal Progressive Training,"Xianhang Li, Peng Wang, Xinyu Li, Heng Wang, Hongru Zhu, Cihang Xie",Temporal Progressive Training (TPT),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2025,CVPR Workshops 2025,No,peer_reviewed,10.1109/CVPRW67362.2025.00250,,https://openaccess.thecvf.com/content/CVPR2025W/PVUW/html/Li_Efficient_VideoMAE_via_Temporal_Progressive_Training_CVPRW_2025_paper.html,,The curriculum is trained and evaluated separately on Kinetics-400 and Something-Something V2.,2026-08-11
Entropy-Guided Masked Autoencoding for Self-Supervised Human Action Recognition Using Video Swin Transformer,Kollu Praveen Kumar; Guduri Baby Harshitha; Koti Vijay; Angothu Sravika,Entropy-Guided Masked Autoencoding,Generative / Masked,UCF101,UCF101,UCF101,2025,ACROSET 2025,No,peer_reviewed,10.1109/ACROSET66531.2025.11281001,,https://ieeexplore.ieee.org/document/11281001,,,2026-08-11
Exemplar-free class incremental action recognition based on self-supervised learning,"Chunyu Hou, Yonghong Hou, Jinyin Jiang, Gunel Abdullayeva",Exemplar-Free SSL Class-Incremental Action Recognition,Other / Hybrid,UCF101; HMDB51; Kinetics-400; Something-Something V2,UCF101; HMDB51; Kinetics-400; Something-Something V2,UCF101; HMDB51; Kinetics-400; Something-Something V2,2025,Image and Vision Computing 2025,No,peer_reviewed,10.1016/j.imavis.2025.105544,,https://www.sciencedirect.com/science/article/pii/S0262885625001325,,,2026-08-11
Feature Hallucination for Self-supervised Action Recognition,"Lei Wang, Piotr Koniusz; ;",DEEP-HAL,Cross-Modal,Kinetics-400; COCO; AVA v2.1; Kinetics-Skeletons,HMDB51; YUP++; MPII Cooking Activities; Charades; EPIC-KITCHENS-55; Toyota Smarthome; Kinetics-400; Kinetics-600; Something-Something V2,Kinetics-400; COCO; AVA v2.1; Kinetics-Skeletons; HMDB51; YUP++; MPII Cooking Activities; Charades; EPIC-KITCHENS-55; Toyota Smarthome; Kinetics-600; Something-Something V2,2025,International Journal of Computer Vision 2025,No,peer_reviewed,10.1007/s11263-025-02513-4,2506.20342,https://link.springer.com/article/10.1007/s11263-025-02513-4,,"Kinetics-400, COCO/AVA, and Kinetics-Skeletons supply the pretrained auxiliary modality teachers used by the hallucination framework.",2026-08-11
Hashtag2Action: Data Engineering and Self-Supervised Pre-Training for Action Recognition in Short-Form Videos,"Yang Qian, Ali Kargarandehkordi, Yinan Sun, Parnian Azizian, Onur Cezmi Mutlu, Saimourya Surabhi, Zain Jabbar, Dennis Wall, Peter Washington, Huaijin Chen;",Hashtag2Action (H2A),Generative / Masked,Hashtag2Action,UCF101; HMDB51; Kinetics-400; Something-Something V2,Hashtag2Action; UCF101; HMDB51; Kinetics-400; Something-Something V2,2025,ICCV Workshops 2025,No,peer_reviewed,10.1109/ICCVW69036.2025.00312,,https://openaccess.thecvf.com/content/ICCV2025W/SVU/html/Qian_Hashtag2Action_Data_Engineering_and_Self-Supervised_Pre-Training_for_Action_Recognition_in_ICCVW_2025_paper.html,,"Hashtag2Action contains 283,582 short-form clips in 386 action categories.",2026-08-11
Intuitive physics understanding emerges from self-supervised pretraining on natural videos,"Quentin Garrido, Nicolas Ballas, Mahmoud Assran, Adrien Bardes, Laurent Najman, Michael Rabbat, Emmanuel Dupoux, Yann LeCun",V-JEPA Intuitive-Physics Probing,Pretext / Predictive,Kinetics-710; Something-Something V2; HowTo100M,IntPhys; GRASP; InfLevel-lab,Kinetics-710; Something-Something V2; HowTo100M; IntPhys; GRASP; InfLevel-lab,2025,arXiv preprint,No,preprint,,2502.11831,https://arxiv.org/abs/2502.11831,,The three pretraining sources form the VideoMix2M mixture used by the evaluated V-JEPA model.,2026-08-11
Kdhiera: boosting self-supervised masked video modeling via hierarchical knowledge distillation,"Yunlong Wang, Hong Liang, Mingwen Shao & Qian Zhang;",KDHiera,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; AVA,Kinetics-400; Something-Something V2; AVA,2025,Cluster Computing 2025,No,peer_reviewed,10.1007/s10586-025-05262-8,,https://link.springer.com/article/10.1007/s10586-025-05262-8,,,2026-08-11
Label Ranker: Self-aware Preference for Classification Label Position in Visual Masked Self-supervised Pre-trained Model,"Peihao Xiang, Ou Bai",Label Ranker,Generative / Masked,ImageNet-1K; Kinetics-400,CIFAR-100; UCF101; HMDB51,ImageNet-1K; Kinetics-400; CIFAR-100; UCF101; HMDB51,2025,ICMR 2025,No,peer_reviewed,10.1145/3731715.3733369,,https://dl.acm.org/doi/10.1145/3731715.3733369,,,2026-08-11
Learning Complementary Knowledge via Trusted Multi-view Space Decomposition for Self-Supervised Contrastive Learning,"Jiangmeng Li, Yunze Zhao, Yifan Jin, Changwen Zheng & Wenwen Qiang;",Trusted Multi-view Decoupled Contrast (TMDC),Contrastive,ImageNet-1K; OGBG-MolBBBP,ImageNet-1K; OGBG-MolBBBP,ImageNet-1K; OGBG-MolBBBP,2025,Machine Learning 2025,No,peer_reviewed,10.1007/s10994-025-06927-6,,https://link.springer.com/article/10.1007/s10994-025-06927-6,,The accessible publisher material explicitly exposes ImageNet and OGBG-MolBBBP results; the article is not limited to video benchmarks.,2026-08-11
Learning from Streaming Video with Orthogonal Gradients,"Tengda Han⋄, Dilara Gokay, Joseph Heyward, Chuhan Zhang, Daniel Zoran, Viorica Patraucean, Joao Carreira, Dima Damen, Andrew Zisserman",Orthogonal-SGD / Orthogonal-AdamW,Other / Hybrid,WalkingTours; Kinetics-400; Something-Something V2; Ego4D-Stream; ScanNet-Stream; ImageNet-21K,ImageNet-1K; Something-Something V2; Ego4D-Stream; ScanNet-Stream,WalkingTours; Kinetics-400; Something-Something V2; Ego4D-Stream; ScanNet-Stream; ImageNet-21K; ImageNet-1K,2025,CVPR 2025,No,peer_reviewed,10.1109/CVPR52734.2025.01274,2504.01961,https://openaccess.thecvf.com/content/CVPR2025/html/Chakraborty_Learning_from_Streaming_Video_with_Orthogonal_Gradients_CVPR_2025_paper.html,,WalkingTours is the paper's Venice walking-tour stream; ImageNet-21K supplies the initialization used in future-prediction experiments.,2026-08-11
Learning Video Representations without Natural Videos,"Xueyang Yu, Xinlei Chen, Yossi Gandelsman;",Synthetic-progression VideoMAE pretraining,Generative / Masked,Procedurally generated motion videos; ImageNet-1K static images,UCF101; HMDB51; UCF101-P; Kinetics-400,Procedurally generated motion videos; ImageNet-1K static images; UCF101; HMDB51; UCF101-P; Kinetics-400,2025,ICCV Workshops 2025,No,peer_reviewed,,2410.24213,https://openreview.net/forum?id=nqDXwTTCWA,,UCF101-P contains 14 out-of-distribution corruption sets.,2026-08-11
Mitigating background bias in self-supervised video representation learning,"Arif Akar, Ufuk Umut Senturk & Nazli Ikizler-Cinbis",MAC-based Background-Debiasing SSL,Contrastive,UCF101; HMDB51; Diving48,UCF101; HMDB51; Diving48,UCF101; HMDB51; Diving48,2025,"Signal, Image and Video Processing 2025",No,peer_reviewed,10.1007/s11760-024-03644-w,,https://link.springer.com/article/10.1007/s11760-024-03644-w,,"The publisher abstract reports UCF101, HMDB51, and Diving48 under low-resource and full-compute settings.",2026-08-11
MME: Video Representation Learning as World Model for Understanding and Planning,"Xinyu Sun, Changhao Li, Chen Jian, Chuang Gan, Peihao Chen, and Mingkui Tan;",Masked Motion Encoding (MME),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA; Robot arm manipulation benchmark,Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA; Robot arm manipulation benchmark,2025,TechRxiv preprint,No,preprint,10.36227/techrxiv.175624509.93122186/v1,,https://www.techrxiv.org/doi/full/10.36227/techrxiv.175624509.93122186,,The accessible primary abstract describes a robot-arm manipulation task but does not name that benchmark.,2026-08-11
Motion-driven Adaptive Frame Selection Strategy for Video Action Recognition,"Hao Ding, Chen Guo, Jing Sun, Xiaoping Jiang, Hongling Shi, Jianjin Li",Motion-Driven Adaptive Frame Selection,Other / Hybrid,ImageNet-1K,Diving48; UCF101; HMDB51,ImageNet-1K; Diving48; UCF101; HMDB51,2025,EURASIP Journal on Image and Video Processing 2025,No,peer_reviewed,10.1186/s13640-025-00675-2,,https://jivp-eurasipjournals.springeropen.com/articles/10.1186/s13640-025-00675-2,,The selector uses an ImageNet-pretrained ResNet-50 backbone and is evaluated on three action-recognition datasets.,2026-08-11
OSKAR: Omnimodal Self-supervised Knowledge Abstraction and Representation,"Mohamed O Abdelfattah, Kaouther Messaoud, Alexandre Alahi;",OSKAR,Cross-Modal,OpenHumanVid3,Kinetics-400; Something-Something V2; NTU RGB+D 60; NTU RGB+D 120; AVA; MSR-VTT; MSVD; VATEX; MSR-VTT-QA; MSVD-QA; TGIF-FrameQA,OpenHumanVid3; Kinetics-400; Something-Something V2; NTU RGB+D 60; NTU RGB+D 120; AVA; MSR-VTT; MSVD; VATEX; MSR-VTT-QA; MSVD-QA; TGIF-FrameQA,2025,NeurIPS 2025,Yes,peer_reviewed,10.52202/085713-0021,,https://papers.nips.cc/paper_files/paper/2025/hash/010ca5a0ccb09cfb554ed637758a08da-Abstract-Conference.html,,The paper samples 10 million OpenHumanVid3 videos and derives pseudo skeleton and caption modalities before downstream evaluation.,2026-08-11
