Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
VideoMoCo: Contrastive Video Representation Learning with Temporally Adversarial Examples,VideoMoCo,Contrastive,Kinetics-400,UCF101; HMDB51,2021,CVPR 2021,peer_reviewed,,2026-08-11
On compositions of transformations in contrastive self-supervised learning,Generalized Data Transformations (GDT),Contrastive,Kinetics-400; AudioSet; HowTo100M,UCF101; HMDB51; ESC-50; Kinetics-400,2021,ICCV 2021,peer_reviewed,,2026-08-11
Unsupervised visual representation learning by tracking patches in video,Catch-the-Patch (CtP),Pretext / Predictive,Kinetics-400,UCF101; HMDB51; Something-Something V1; Something-Something V2,2021,CVPR 2021,peer_reviewed,,2026-08-11
A large-scale study on unsupervised spatiotemporal representation learning,Space-Time Contrastive Study,Contrastive,Kinetics-400; Kinetics-600; Kinetics-700; Instagram-65M,Kinetics-400; Kinetics-600; Kinetics-700; UCF101; HMDB51; AVA,2021,CVPR 2021,peer_reviewed,10.1109/CVPR46437.2021.00331,2026-08-11
CoCon: Cooperative-Contrastive Learning,CoCon,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51,2021,CVPR 2021,peer_reviewed,,2026-08-11
"VATT: Transformers for multimodal self-supervised learning from raw video, audio and text",VATT,Multimodal / Audio-Visual,HowTo100M; AudioSet,Kinetics-400; Kinetics-600; Kinetics-700; Moments in Time V1; ImageNet-1K; AudioSet; YouCook2; MSR-VTT,2021,NeurIPS 2021,peer_reviewed,,2026-08-11
ASCNet: Self-supervised video representation learning with appearance-speed consistency,ASCNet,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51,2021,ICCV 2021,peer_reviewed,,2026-08-11
Self-supervised visual learning by variable playback speeds prediction of a video,Variable Playback Speed Prediction,Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,2021,IEEE Access 2021,peer_reviewed,10.1109/ACCESS.2021.3084840,2026-08-11
Self-supervised video representation learning with meta-contrastive network,Meta-Contrastive Network (MCN),Contrastive,UCF101; Kinetics-400,UCF101; HMDB51,2021,ICCV 2021,peer_reviewed,10.1109/ICCV48922.2021.00813,2026-08-11
Long short view feature decomposition via contrastive video representation learning,Long-Short View Feature Decomposition (LSFD),Contrastive,Kinetics-400,UCF101; HMDB51; Breakfast; 50Salads,2021,ICCV 2021,peer_reviewed,,2026-08-11
Time-equivariant contrastive video representation learning,Time-Equivariant Contrastive Learning (TE),Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; FineGym,2021,ICCV 2021,peer_reviewed,,2026-08-11
Self-supervised video representation learning by context and motion decoupling,Context and Motion Decoupling (CMD),Pretext / Predictive,Kinetics-400,UCF101; HMDB51,2021,CVPR 2021,peer_reviewed,10.1109/CVPR46437.2021.01367,2026-08-11
Unsupervised video representation learning by bidirectional feature prediction,Bidirectional Feature Prediction (BFP),Pretext / Predictive,UCF101; Kinetics-400,UCF101; HMDB51,2021,WACV 2021,peer_reviewed,,2026-08-11
Self-supervised learning of compressed video representations,Compressed Video Representation Learning (CVRL-C),Pretext / Predictive,Kinetics-400,Kinetics-400; UCF101; HMDB51,2021,ICLR 2021,peer_reviewed,,2026-08-11
Spatiotemporal contrastive video representation learning,CVRL,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; AVA,2021,CVPR 2021,peer_reviewed,10.1109/CVPR46437.2021.00689,2026-08-11
MoDist: Motion Distillation for Self-Supervised Video Representation Learning,MoDist,Distillation / Teacher-Student,Kinetics-400,UCF101; HMDB51,2021,arXiv / Preprint,preprint,,2026-08-11
Broaden your views for self-supervised video learning,BraVe,Distillation / Teacher-Student,Kinetics-400,Kinetics-400; UCF101; HMDB51,2021,ICCV 2021,peer_reviewed,10.1109/ICCV48922.2021.00129,2026-08-11
Vi2CLR: Video and image for visual contrastive learning of representation,Vi2CLR,Contrastive,ImageNet-1K; Kinetics-400,Kinetics-400; UCF101; HMDB51,2021,ICCV 2021,peer_reviewed,,2026-08-11
Contrast and order representations for video self-supervised learning,Contrast and Order Representation (CORP),Other / Hybrid,UCF101; Kinetics-400,UCF101; HMDB51,2021,ICCV 2021,peer_reviewed,10.1109/ICCV48922.2021.00784,2026-08-11
Motion-augmented self-training for video recognition at smaller scale,MotionFit,Distillation / Teacher-Student,Kinetics-400; UCF101; HMDB51,UCF101; HMDB51,2021,ICCV 2021,peer_reviewed,,2026-08-11
Video contrastive learning with global context,VCLR,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; ActivityNet; THUMOS14,2021,ICCV Workshops 2021,peer_reviewed,,2026-08-11
Motion-focused contrastive learning of video representations,Motion-Focused Contrastive Learning (MCL),Contrastive,ImageNet-1K; Kinetics-400; UCF101,Kinetics-400; UCF101; HMDB51,2021,ICCV 2021,peer_reviewed,10.1109/ICCV48922.2021.00211,2026-08-11
Back to the Future: Cycle Encoding Prediction for Self-supervised Video Representation Learning,Cycle Encoding Prediction (CEP),Pretext / Predictive,UCF101,UCF101; HMDB51,2021,BMVC 2021,peer_reviewed,,2026-08-11
Composable augmentation encoding for video representation learning,Composable Augmentation Encoding (CATE),Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; Something-Something V2; Diving48,2021,ICCV 2021,peer_reviewed,10.1109/ICCV48922.2021.00871,2026-08-11
Learning temporal dynamics from cycles in narrated video,Multimodal Temporal Cycle Consistency (MMCC),Multimodal / Audio-Visual,HowTo100M,CrossTask; COIN; EPIC-KITCHENS-100,2021,ICCV 2021,peer_reviewed,,2026-08-11
CrossCLR: Cross-Modal Contrastive Learning for Multi-Modal Video Representations,CrossCLR,Multimodal / Audio-Visual,YouCook2; LSMDC,YouCook2; LSMDC; MSR-VTT,2021,ICCV 2021,peer_reviewed,,2026-08-11
Watching the World Go By: Representation Learning from Unlabeled Videos,Video Noise-Contrastive Estimation (VINCE),Contrastive,R2V2; YouTube-8M URL collection; Kinetics-400 URL collection,ImageNet-1K; SUN397; Kinetics-400; GOT-10k; OTB-2015,2021,ICLR 2021,peer_reviewed,,2026-08-11
Parameter Efficient Multimodal Transformers for Video Representation Learning,Audio-Visual BERT (AVBERT),Multimodal / Audio-Visual,Kinetics-700; AudioSet,UCF101; ESC-50; Charades; Kinetics-Sounds,2021,ICLR 2021,peer_reviewed,,2026-08-11
Active Contrastive Learning of Audio-Visual Video Representations,Cross-Modal Active Contrastive Coding (CM-ACC),Multimodal / Audio-Visual,Kinetics-Sounds; Kinetics-700; AudioSet; UCF101,UCF101; HMDB51; ESC-50,2021,ICLR 2021,peer_reviewed,,2026-08-11
